ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
381357991,2026-03-26 23:33,101,12,0,1/35,https://xueqiu.com/1393486978/381357991,$亚盛医药-B(06855)$ 奥雷巴替尼的增长和峰值不需要担心。 分适应症来看 CML 2025年...,"$亚盛医药-B(06855)$
奥雷巴替尼的增长和峰值不需要担心。
分适应症来看
CML 2025年的同比增长是160%
Ph+ALL的增速相对较低（神药吃不起）
说明医保效应明显，支付端解决了就放量了。
CML随着渗透率提升（入院增加，医生覆盖增加，3代换2代），DOT持续延长，今年将继续高速增长。
而Ph+ALL巨大的需求，还是得等到Polaris1做完进了医保上市了才好放量。不过要知道现在这个适应症一年1个多亿的销量，是仅仅作为诱导治疗用药一个人吃两盒（纯自费，DOT差不多两个月）的情况下完成的。等到1351+2575的方案做出来进了医保，口服双药代替移植，DOT延长到24个月以上，卖两个药，光这个适应症国内也能实现非常高的销量。
$亚盛医药-B(06855)$
奥雷巴替尼的增长和峰值不需要担心。
分适应症来看
CML 2025年的同比增长是160%
Ph+ALL的增速相对较低（神药吃不起）
说明医保效应明显，支付端解决了就放量了。
CML随着渗透率提升（入院增加，医生覆盖增加，3代换2代），DOT持续延长，今年将继续高..."
381128797,2026-03-25 20:19,60,14,0,1/35,https://xueqiu.com/1393486978/381128797,$亚盛医药-B(06855)$ 两年前写的这段话，到了今天能看懂的朋友终于更多。 “这一波操作，单纯...,"$亚盛医药-B(06855)$
两年前写的这段话，到了今天能看懂的朋友终于更多。
“这一波操作，单纯从经济价值而言，绝对不是实现了奥雷巴替尼的价值最大化。
然而，这一波操作，单纯从经济价值而言，确确实实是对于亚盛医药的价值最大化。”
$亚盛医药-B(06855)$
两年前写的这段话，到了今天能看懂的朋友终于更多。
“这一波操作，单纯从经济价值而言，绝对不是实现了奥雷巴替尼的价值最大化。
然而，这一波操作，单纯从经济价值而言，确确实实是对于亚盛医药的价值最大..."
381038562,2026-03-25 12:04,47,21,0,1/35,https://xueqiu.com/1393486978/381038562,$维科技术(SH600152)$ 钠电产业起步期竞争格局： 两超格局起步就已确定。 宁德的优势在高性...,"$维科技术(SH600152)$
钠电产业起步期竞争格局：
两超格局起步就已确定。
宁德的优势在高性能，动力端，上车。
比亚迪在储能发力更猛。
两家公司起手就是几十GW。
钠电最大的空间和市场，以及长期差异化优势毫无疑问是储能，而只有聚阴离子路线才符合第一性。
所以黑马公司里面，维科技术前几年开始押注NFPP储能，做了很多示范性项目（临床试验，真实世界研究），迎来了需求端起量以及材料端降本的共振点。欧洲，美国，日本，东南亚和国内市场集体开始外拓。现在就看先手优势能都转化为产能渠道市场产品的体系化竞争力，当前短板是资金不够导致扩产可能会保守。定增募资是一个好的开始，边走边看。能达到的高度，上限相当于锂电时代的亿纬锂能，下限相当于派能科技，长期看能不能在长期中将来在钠电整体市场中，进入到TOP5的行列。
海四达（普利特）主攻动力电池，有动力电池场景的先发和竞争优势，储能方面前期未作为重点。
启停，两轮车等替代两轮车的领域，对产品性能没太大差异化要求，本质还是渠道为王，性价比为王，这一领域基本是会被天能，超威等铅酸公司来进行产品迭代和替换。
其它的，类似鹏辉这类的有体系化能力的公司，就看公司投入方向和侧重点了，跟着战略走，储能产品能力上来了，竞争力也是有的。
其它的华阳，传艺这一类公司，没有看到产品和场景上特别突出的差异化亮点和竞争优势，感觉还是对于市场和技术的第一性理解不够，不过这类公司布局早，就看产业进入爆发期以后的战略调整能力。
不过怎么说呢，储能突破商业临界点以后，打开了一个远大于动力电池的市场，而钠电比锂电更符合第一性，将在未来占据绝对的市场份额，这里面充分布局的公司，都有一段美好的红利时光。
$维科技术(SH600152)$
钠电产业起步期竞争格局：
两超格局起步就已确定。
宁德的优势在高性能，动力端，上车。
比亚迪在储能发力更猛。
两家公司起手就是几十GW。
钠电最大的空间和市场，以及长期差异化优势毫无疑问是储能，而只有聚阴离子路线才符合第一性。
所以黑..."
381003079,2026-03-25 09:58,56,50,0,1/35,https://xueqiu.com/1393486978/381003079,$亚盛医药-B(06855)$ 🌸街有个传言，Merck可能要买Terns，60亿刀。...,"$亚盛医药-B(06855)$
🌸街有个传言，Merck可能要买Terns，60亿刀。"
380616030,2026-03-23 10:29,74,16,0,1/35,https://xueqiu.com/1393486978/380616030,$亚盛医药-B(06855)$ 发点和股价无关的。 亚盛做的这一把PROTAC降解剂，和小分子抑制剂...,"$亚盛医药-B(06855)$
发点和股价无关的。
亚盛做的这一把PROTAC降解剂，和小分子抑制剂在临床上最大最直观的区别，其中一个是降解剂单剂量给一次药能管很久，而抑制剂是每天都要给药。
把IV的剂型做成口服，实现一周吃一次药，一个月吃一次药，是对于依从性的极大的提升。
对于精准靶点，再把亲和力做上去，把生物利用度再进一步提上去，在每次给药期间，就有更好的安全性。
通过降解剂和抑制剂不同策略的联合用药组合，每日一次口服和每周一次口服相结合，以实现针对各个适应症绝对意义上更好的有效性、安全性和依从性。
所以说，3288的pk数据，是今年第三重要的事件和催化剂。
$亚盛医药-B(06855)$
发点和股价无关的。
亚盛做的这一把PROTAC降解剂，和小分子抑制剂在临床上最大最直观的区别，其中一个是降解剂单剂量给一次药能管很久，而抑制剂是每天都要给药。
把IV的剂型做成口服，实现一周吃一次药，一个月吃一次药，是对于依从性的极大的提升。
对于精..."
380582699,2026-03-23 08:57,24,3,0,1/35,https://xueqiu.com/1393486978/380582699,回复@大漠沙如雪Z: $亚盛医药-B(06855)$ 就这点钱和市值，能同时推进7个三期注册临床，其...,"回复@大漠沙如雪Z: $亚盛医药-B(06855)$
就这点钱和市值，能同时推进7个三期注册临床，其中4个FDA注册临床，还有一大堆新分子创新项目摸适应症，摸了一大把适应症出来，推进临床的能力还是短板啊？"
380566340,2026-03-22 22:29,91,37,0,1/35,https://xueqiu.com/1393486978/380566340,$亚盛医药-B(06855)$ 不要担心亚盛到了这个阶段还能因为缺钱开不起临床。 要没钱的话，328...,"$亚盛医药-B(06855)$
不要担心亚盛到了这个阶段还能因为缺钱开不起临床。
要没钱的话，3288不会开那么大的一期。
三个月前成立全球研发委员会，请Marc E. Lippman博士来当主席，明摆着就是除了血液瘤，还要在实体瘤大干一场。
7个注册临床该花的钱差不多绝大部分都花出去了，剩下等武田的钱到账就行了。
如果极小概率事件发生，武田放弃权益，那肯定是特大利好。要问钱从哪儿来，两个药全球三期都做完了，实在缺钱，获得资金的途径实在太多，比如说卖几个点的收益权给Royalty这类公司，或者把两个药的国内销售收益权抵押给银行，钱不就来了？
手上具备有价值有明确变现能力的资产，还担心缺钱？
$亚盛医药-B(06855)$
不要担心亚盛到了这个阶段还能因为缺钱开不起临床。
要没钱的话，3288不会开那么大的一期。
三个月前成立全球研发委员会，请Marc E. Lippman博士来当主席，明摆着就是除了血液瘤，还要在实体瘤大干一场。
7个注册临床该花的钱差不多绝大部分都花出去了，剩下..."
379875211,2026-03-18 08:37,80,23,0,1/35,https://xueqiu.com/1393486978/379875211,$亚盛医药-B(06855)$ AACR2026，期待已久的开始亮出东西了。...,$亚盛医药-B(06855)$ AACR2026，期待已久的开始亮出东西了。
379657772,2026-03-16 20:30,82,74,0,1/35,https://xueqiu.com/1393486978/379657772,$亚盛医药-B(06855)$ 这几天的论坛水准看不去了，乱七八糟聊这些有什么意义？ 就一句话，所谓...,"$亚盛医药-B(06855)$
这几天的论坛水准看不去了，乱七八糟聊这些有什么意义？
就一句话，所谓的亚盛长期投资者看懂的来切磋一下：3288的pk数据，是亚盛今年排名第三的催化剂。"
379248968,2026-03-13 09:16,81,22,0,1/35,https://xueqiu.com/1393486978/379248968,$亚盛医药-B(06855)$ 讨论投亚盛有没有确定性，没太大的意义。 信息的丰度，研究的深度，认知...,"$亚盛医药-B(06855)$
讨论投亚盛有没有确定性，没太大的意义。
信息的丰度，研究的深度，认知的维度不同，得出的结论自然也就不同。
投G4成功在美国自己卖是投亚盛的0-1，梳理其它适应症的开发计划和竞争力是看未来的1-N。
对于亚盛投资确定性的认知，来自于自身对于0-1和1-N是否具备确定性的认知和判断。
$亚盛医药-B(06855)$
讨论投亚盛有没有确定性，没太大的意义。
信息的丰度，研究的深度，认知的维度不同，得出的结论自然也就不同。
投G4成功在美国自己卖是投亚盛的0-1，梳理其它适应症的开发计划和竞争力是看未来的1-N。
对于亚盛投资确定性的认知，来自于自身对于0-1和1-N是否..."
378878372,2026-03-11 08:13,32,1,0,1/35,https://xueqiu.com/1393486978/378878372,回复@flcq: $亚盛医药-B(06855)$$ORIC Pharmaceuticals(ORIC...,"回复@flcq: $亚盛医药-B(06855)$$ORIC Pharmaceuticals(ORIC)$
树上10只鸟，打死1只鸟，还剩几只鸟？
枪声响起的时候，鸟都飞走了，虚惊一场，这会儿又陆续飞回来了。"
378875921,2026-03-11 07:33,77,8,0,1/35,https://xueqiu.com/1393486978/378875921,$亚盛医药-B(06855)$ 黄总这个帖子基本展示了亚盛对于淋系血液肿瘤的想法，以及饱和式攻击的方...,"$亚盛医药-B(06855)$
黄总这个帖子基本展示了亚盛对于淋系血液肿瘤的想法，以及饱和式攻击的方式：
1.淋系所有前线用BTK抑制剂的适应症，后线用BTK降解剂3288做，单药好入组，把后线数据做出来，先全面成药上线。
2.所有不适合用BTK，以及不耐受BTK的惰性淋巴瘤患者，用Bcl2抑制剂2575单药去做，这是一个未被高效口服小分子覆盖和服务的人群，数量还不小，而且还是单药。
3.原有BTK抑制剂做过，但效果还不够的侵袭性淋巴瘤，如弥漫大B淋巴瘤DLBCL，先用Bcl2抑制剂2575供药出去，联合友商BTK抑制剂去试去冲（2575+匹妥布替尼）
4.等3288在淋巴瘤各个适应症有明确的PK和疗效安全性数据以后，逐步展开3288+2575对于淋系各个适应症前线治疗的总攻。
1-3是现在打出来的牌，4是接下来将会打出来的牌。
$亚盛医药-B(06855)$
黄总这个帖子基本展示了亚盛对于淋系血液肿瘤的想法，以及饱和式攻击的方式：
1.淋系所有前线用BTK抑制剂的适应症，后线用BTK降解剂3288做，单药好入组，把后线数据做出来，先全面成药上线。
2.所有不适合用BTK，以及不耐受BTK的惰性淋巴瘤患者，用Bcl2抑制剂2575..."
378689358,2026-03-09 22:29,39,12,0,1/35,https://xueqiu.com/1393486978/378689358,$亚盛医药-B(06855)$$ORIC Pharmaceuticals(ORIC)$$Fulcru...,"$亚盛医药-B(06855)$$ORIC Pharmaceuticals(ORIC)$$Fulcrum Therapeutics(FULC)$
他泽司他的撤市，把PRC2相关公司背后的投资者直接吓到了。
梳理一下：
1.他泽司他两个适应症（FL末线和ES末线）都是单药单臂拿的加速审评上市，需要通过一个三期试验SYMPHONY-1研究来拿全批准，试验方案是他泽司他+来那度胺+利妥昔vs来那度胺+利妥昔。
2.来那度胺有明确的继发性肿瘤安全性问题，有长期充分的临床数据可证明，泊马度胺同样存在此问题（略好于来那度胺），两颗药都被FDA打了黑框警告。
3.第一三共EZH1/2伐美妥司他也在临床中发现了同样的安全性信号，临床发生率1.7%，小于来那度胺和泊马度胺在这个风险点上的发生率。
4.问题就出在来那度胺的联合方案上。想起以前看来那度胺这个药的时候，来那度胺联合美法仑的时候，继发性肿瘤安全性问题就很严重，而联合环磷酰胺就没有这个问题。
5.SYMPHONY-1的问题就在于他泽司他和来那度胺两个药的同一安全性问题，在联合用药时出现了叠加，造成了这一罕见的严重副作用激增，加上FL本就是慢病化适应症，对于长期安全性很看重，继发性发生AML/MDS肯定是严重不良的信号。最主要还是这一安全性问题没有换来更好的获益。
6.Oric和伐美妥司他开发mCRPC就不存在这个问题，本身就是预后不良的适应症，联合用药的AR恩扎卢胺本不存在这一风险。
7.Fulcrum做SCD也不存在这个风险，单药，主要是贫血适应症剂量也给得很低，发生这个安全性爆发概率不大。
8.去年ASH发的5918在mm上和免疫调节剂联用的机制和临床前数据，有效性非常好，联合用药，会不会发生同样的安全性问题，毕竟联合泊马度胺，就看定位，能不能换一个更好的获益风险比。同时，新一代CC92480看起来比来那度胺，泊马度胺这方面安全性好一些，和5918联合的临床前模型数据也比泊马度胺好一些。APG5918别的适应症应该不存在继发性肿瘤影响上市的问题（就像Cart也有继发性肿瘤风险，还是得综合看风险获益比），就MM这个，到时候看看运气好不好了。
9.话说回来，EED本就是个不好做的药，靶点广谱高效，问题是安全性风险如何控制。这个就像Bcl2这个靶点一样，核心在于高效的同时实现控毒。
10.反正这就是一通纸面分析，还是要看一手APG5918的临床数据。
$亚盛医药-B(06855)$$ORIC Pharmaceuticals(ORIC)$$Fulcrum Therapeutics(FULC)$
他泽司他的撤市，把PRC2相关公司背后的投资者直接吓到了。
梳理一下：
1.他泽司他两个适应症（FL末线和ES末线）都是单药单臂拿的加速审评上市，需要通过一个三期试验SYMPHONY-1研究来拿全批准，试验方..."
378661937,2026-03-09 18:40,80,17,0,1/35,https://xueqiu.com/1393486978/378661937,$亚盛医药-B(06855)$ 他泽司他出问题了，已获批适应症被撤回，所有临床试验停止入组。 他泽司...,"$亚盛医药-B(06855)$
他泽司他出问题了，已获批适应症被撤回，所有临床试验停止入组。
他泽司他和来那度胺共同有的继发性肿瘤风险在联合用药中被放大。目前看下来是方案的问题＞靶点的问题。
伐美妥司他，Oric944在mCRPC的开发应该不会受影响，Fulcrum低剂量EED在SCD的开发应该也不会受到影响。
不知道APG5918在RRMM联合泊马度胺或者CC92480会不会有同样的影响。
5918到目前应该也入组了很多人了，到时候先看看数据吧。
$亚盛医药-B(06855)$
他泽司他出问题了，已获批适应症被撤回，所有临床试验停止入组。
他泽司他和来那度胺共同有的继发性肿瘤风险在联合用药中被放大。目前看下来是方案的问题＞靶点的问题。
伐美妥司他，Oric944在mCRPC的开发应该不会受影响，Fulcrum低剂量EED在SCD的开发应该也不会..."
378551176,2026-03-09 09:43,83,13,0,1/35,https://xueqiu.com/1393486978/378551176,$亚盛医药-B(06855)$ 1.对于亚盛而言，我早就已经不研究2575了。 2.投创新药，反正分...,"$亚盛医药-B(06855)$
1.对于亚盛而言，我早就已经不研究2575了。
2.投创新药，反正分子结构我是看不懂的，也不想去看懂，认为自己看得懂的，自己慢慢去研究就好了。
3.跨组别对比，基线都对不齐，就别来比临床数据了，做这个ppt，拿这个到处做宣传的团队，真的很业余。"
378208900,2026-03-05 20:50,95,44,0,1/35,https://xueqiu.com/1393486978/378208900,$亚盛医药-B(06855)$ 有专属司机了，哈弗换腾势，这样的CEO我不支持，我支持谁？...,"$亚盛医药-B(06855)$
有专属司机了，哈弗换腾势，这样的CEO我不支持，我支持谁？"
378044416,2026-03-04 23:15,88,14,1,1/35,https://xueqiu.com/1393486978/378044416,$亚盛医药-B(06855)$ 这是我去年研究写的文章， 网页链接 下图是一位朋友用AI做的一个分析...,"$亚盛医药-B(06855)$
这是我去年研究写的文章，
网页链接
下图是一位朋友用AI做的一个分析，几乎挑不出太多毛病。
再过段时间，在亚盛上我应该光靠手搓，是研究不过其它研究者+AI了。
$亚盛医药-B(06855)$
这是我去年研究写的文章，
网页链接
下图是一位朋友用AI做的一个分析，几乎挑不出太多毛病。
再过段时间，在亚盛上我应该光靠手搓，是研究不过其它研究者+AI了。"
377855077,2026-03-03 23:08,129,29,1,1/35,https://xueqiu.com/1393486978/377855077,$亚盛医药-B(06855)$ 有朋友问CLL未来的竞争格局，亚盛还有没有机会。讲了一遍，感觉也听得...,"$亚盛医药-B(06855)$
有朋友问CLL未来的竞争格局，亚盛还有没有机会。讲了一遍，感觉也听得似懂非懂。
以前雪球上写了无数次，懒得翻了。
花了10分钟手搓了个图，基本讲全了。

$亚盛医药-B(06855)$
有朋友问CLL未来的竞争格局，亚盛还有没有机会。讲了一遍，感觉也听得似懂非懂。
以前雪球上写了无数次，懒得翻了。
花了10分钟手搓了个图，基本讲全了。"
377471875,2026-03-01 21:38,131,17,3,1/35,https://xueqiu.com/1393486978/377471875,$亚盛医药-B(06855)$$再鼎医药(09688)$ 投资逻辑...,"$亚盛医药-B(06855)$$再鼎医药(09688)$
投资逻辑"
377130479,2026-02-26 22:30,108,33,1,1/35,https://xueqiu.com/1393486978/377130479,$再鼎医药(09688)$ 年报总结及未来展望： 1.搬砖的眼光和能力毋庸置疑。 2.过去几年砖搬对...,"$再鼎医药(09688)$
年报总结及未来展望：
1.搬砖的眼光和能力毋庸置疑。
2.过去几年砖搬对了，方向搬反了，没有挣到钱还贴了钱。
3.不过，搬砖的这几年把肌肉锻炼出来了。
4.现在搞明白了，开始加速反方向搬砖。
$再鼎医药(09688)$
年报总结及未来展望：
1.搬砖的眼光和能力毋庸置疑。
2.过去几年砖搬对了，方向搬反了，没有挣到钱还贴了钱。
3.不过，搬砖的这几年把肌肉锻炼出来了。
4.现在搞明白了，开始加速反方向搬砖。"
376748768,2026-02-24 16:09,85,23,0,2/35,https://xueqiu.com/1393486978/376748768,$再鼎医药(09688)$ 1.自己卖 2.两联...,$再鼎医药(09688)$ 1.自己卖 2.两联
376601603,2026-02-23 08:09,248,80,5,1/4,https://xueqiu.com/1393486978/376601603,2026年开年，石药和AZ，信达和礼来达成的一揽子百亿级美金合作，只道是平常。这样的情景，放在2024年以前，几乎都不敢想。几年前创新药的投资者没几个敢相信，而当前创新药的投资者几乎没有人会怀疑，中国药企做出来的分子，未来将成为全球制药TOP50榜单上的主要力量。TOP50药物，任何一...,"“逞威惟仗追风马
，斩将全凭偃月刀
。
”
——中国创新药2026开局有感
来自flcq的雪球专栏
来源
：雪球App
，作者
： flcq
，
（https://xueqiu.com/1393486978/376601603
）
2026年开年
，石药和AZ
，信达和礼来达成的一揽子百亿级美金合作
，只道是平常
。这样的情景
，放在2024年以前
，几乎都不敢想
。
几年前创新药的投资者没几个敢相信
，而当前创新药的投资者几乎没有人会怀疑
，中国药企做出来的分子
，未来将成为全球制药TOP50榜单上的主要力量
。
TOP50药物
，任何一个药全年的销售额
，都相当于一个恒瑞医药
。
全球几千家药企
，数万个分子
，重磅炸弹只有百余席
，而超级重磅炸弹只有几十席
。
毫无疑问
，生物医药是一个巨大的行业
，一个市场量级不断增长的行业
，生物医药在全球是一个集中度相对较高
，但又会给新企业持续提供广阔的新的发育空间的行业
。
显而易见
，生物医药
，尤其是抗癌药
，是当前中国企业能向全球输出核心产品
，参与全球市场大体量高价值分配的行业
。就投资而言
，行业是一个非常适合成长股投资
，但大级别机会只属于少部分企业的赛道
。
而且
，在这个行业中
，成长性的锚点非常清晰
，就是能够开发运营出全球超级重磅炸弹
，就能完成商业能级和企业阶层的跃迁
。
在这个产业链全面崛起的大势面前
，不少企业都能取得高质量的持续成长
。而真正能够建立全球运营能力
，持续运营出重磅炸弹产品的企业
，未来将在全球竞争中跻身更高的身位
。
重磅炸弹不仅仅是实验室研发出来的
，更是开发和运营出来的
。实验室的研发
，仅仅只是其中的开始的小部分
。对于分子差异化的理解
，由此为之匹配的资源
，战术
，临床和商业化策略
，团队推进能力
，还有运气
，都非常关键
。
如果将创新药的世界比作一个游戏
，看着每一家企业的运营
，除了管线硬实力之外
，还有一个很重要的方面
，就是它们的游戏理解
。
在良将和庸才的比较中
，以实力的高低
，就很容易分出高下
。而同为顶级选手
，实力本就在伯仲之间
，拼到最后
，拼的是游戏理解
。
创新药企业的运营
，可以通盘无妙手
，扎扎实实地步步为营
，就像中生翰森复星恒瑞这般
。而对于年轻的中国药企而言
，要在这个周期的产业浪潮中
，依靠有限的资源和资金
，要想持续实现跨越式发展
，打造世界级竞争力
，拼的除了药物实力
，更包括勇气
，和游戏理解
。
什么是游戏理解
？
不经意间回想起来经历的两个场面
。
2009年11月
，成都
，国际会展中心
。
人山人海
，一票难求
，呼喊声震耳欲聋
。
WCG全球总决赛星际争霸比赛
，地图tau cross
，PvP
，处于巅峰期的中国星际教父沙俊春PJ vs 韩国神族天王金泽龙Bisu
。
这是最接近在主场打破韩国星际垄断的决定性战役
，PJ拥有一个完美的开局
。在自家基地防下Bisu的第一波六龙骑速推
，全歼Bisu先头部队
，然后反推到Bisu基地门口
。此时
，经济
，人口
，资源
，兵力甚至科技全面占优
，而后持续补兵
，对Bisu的基地形成全面包围
，在PVP的大众认知中
，优势即胜势
。在场的所有观众都认为PJ这把稳了
。
然而
，Bisu此时一个意想不到的操作
，他竟然在自家路口修了两个水晶
。路口变窄
，PJ一时半会儿无法正面冲进去
，这个操作
，硬是拖延了两分钟让PJ无法完成对自家基地的正面推进
。而后
，在PJ的视野盲区
，Bisu做出了一个隐刀
，降临在了PJ缺乏反隐形能力的基地
，硬是逼得PJ大部队回防
，从而扭转了战局
，接下来
，Bisu依靠龙骑+金甲的操作
，以及后期严丝合缝的运营
，逼迫PJ打下了gg
。
赛后PJ的采访中说到
，
“当时的Bisu
，只有0.1％的概率赢
。
”然而
，韩国的星际垄断依然未被打破
，还是Bisu笑到了最后
。
自家路口修两个水晶
，拖到摸出一个隐刀来翻盘
，看表面是一把极限操作
，看本质是游戏理解
。
两个水晶让路口变窄
，让PJ不敢去尝试用优势去冒险
，用高战损去冲开路口拿下比赛
。虽然PJ拥有巨大优势
，然而他一时半会儿无法拿出一个有效的操作真正终结比赛
。PVP
，Bisu不是胜在操作和更高的apm
，劣势下依然找到了翻盘点从而实现逆转
，胜在韩国选手更深入更全面的游戏理解
。
2017年10月
，上海
，东方体育中心
。
S7英雄联盟全球总决赛半决赛
，巅峰期的Uzi携史上最强全华班RNG对战大魔王Faker领衔的韩国SKT T1
。
全国各地过来的观众挤爆了场地
，大麦网上的票价被黄牛炒到了10倍以上
。
赛前的解说
，各路媒体和论坛都在讨论着如何限制Faker
，靠MLXG破坏对方野区节奏
，不让对方打出上野中野联动
，上中路不出错
，全力保下路Uzi的发育
，从而为后期团战创造优势
。
然而
，谁也没有想到
，在这场最重要的Bo5中韩对决当中
，SKT让Faker连续拿了5把加里奥
。谁都能想到
，RNG会全力保双C尤其是Uzi的发育
，谁都没有想到
，SKT竟然不把Faker当C位
，让他选出了清线支援为主的加里奥
，而不是打主力输出的其他法师英雄
。
在最关键的第5局
，加里奥的快速清线之后的支援能力体现得淋漓尽致
，在野区直接限制了MLXG盲僧的作为
，全场13次大招支援
，砸烂了RNG的阵型
，也砸得东方体育中心原本掀翻顶棚的音浪
，直接寂静无声
，把很多RNG的支持者
，尤其是女观众打到泪崩
。
RNG全华班
，最终拿出了全部的看家本领
，还是以2:3落败
，未能拿到进入鸟巢决赛的通行证
。
RNG的战术
，是人人都知道的4保1
，把比赛的胜负手交给Uzi的硬实力
。而SKT的战术
，是1保4
，依靠Faker打全地图支援
，在上下路和野区创造运营优势
。在最巅峰的赛场上
，拿出了一个更胜一筹的体系
，这就是SKT的游戏理解
。
在创新药的全球赛场上
，中国药企想要有所作为
，想要突飞猛进
，分子的硬实力重要
，中国药企现在的分子能力已经是世界级
，围绕分子的运营同样重要
。而这些表象的背后
，拼的是对战场通局的游戏理解
。
科伦博泰Sac-TMT在默沙东ADC九子夺嫡的竞逐中
，拿下太子之位
，默沙东为它开出了17个全球三期临床
。不得不说
，它靠的是药物实力和运气
，而真正重要的
，是能帮助这个分子出现在了默沙东的手上
，这依靠的是早期阶段的运营和游戏理解
。
百利天恒的Iza-Bren
，早早理解到TOPi毒素ADC的巨大优势和开发价值
，重点在于毒素而不在于靶点
，当做缓释化疗开发了十几个适应症
，且在和MNC的合作开发谈判中
，坚持共同开发五五分成
，从而建立了通向全球biopharma发展的重要通路
，而达成这笔交易的时候
，当时百利天恒的账上只剩下4亿人民币
。这既是顶尖的操作
，同时也是运气的垂青
，而在此背后的基础
，是非凡的勇气
，以及在这个项目上顶级的游戏理解
。
(更新ing)
$亚盛医药-B(06855)$$再鼎医药(09688)$$百济神州(06160)$"
376453458,2026-02-19 12:41,150,25,1,2/35,https://xueqiu.com/1393486978/376453458,$亚盛医药-B(06855)$$再鼎医药(09688)$ 春节期间很多亲戚朋友在饭桌上问我对于投资的...,"$亚盛医药-B(06855)$$再鼎医药(09688)$
春节期间很多亲戚朋友在饭桌上问我对于投资的理解，尤其是涉及到对于投资的安全边际的理解。
在绝大多数人看来，投资创新药就没有所谓的安全边际。
我的回答只有一个:
我所理解的投资安全边际只有一个，就是这家企业能不能通过自己提供的产品或是服务，去持续改变世界，让世界变得更好，在这个过程中，这家企业持续改变世界的能力也越来越强。
而在投资它的初期阶段，只需要有洞见，不需要有共识。
因此，相应的观点其他人是否认可，对于我而言完全不重要。
$亚盛医药-B(06855)$$再鼎医药(09688)$
春节期间很多亲戚朋友在饭桌上问我对于投资的理解，尤其是涉及到对于投资的安全边际的理解。
在绝大多数人看来，投资创新药就没有所谓的安全边际。
我的回答只有一个:
我所理解的投资安全边际只有一个，就是这家企业能不能通过自己提供的产..."
376208653,2026-02-13 21:57,135,51,1,2/35,https://xueqiu.com/1393486978/376208653,$亚盛医药-B(06855)$ GLORA4的临床试验虽然还在入组，而实际上的试验结果，公司都已经看...,"$亚盛医药-B(06855)$
GLORA4的临床试验虽然还在入组，而实际上的试验结果，公司都已经看到了。
1.取得CR的患者，无论是持续用药，还是去接受骨髓移植，生存期都非常显著比没有取得CR的患者更长。
2.只要治疗组CR率显著高于对照组，OS做出来也是顺理成章。
3.VERONA不仅仅是OS未取得统计学差异的优效，CR率相比对照组AZA单药也几乎没有差异。
4.联合治疗CR率比单药高很多，在Bcl2过往的临床试验，以及在真实世界应用中，都是如此。
5.VERONA试验失败的根本原因是治疗组AZA减量的比例过大，减了一半多的剂量，造成了疗效不足。
6.GLORA4就看整体AZA减量的比例，就能知道最后的结果了。如果AZA减量比例低，同时就算减量，也是减到50mg而非36mg，那么CR率做出阳性结果就顺理成章了。
7.而前两个周期减量的情况，公司临床团队肯定是随时掌握的，所以在JP Morgan的时候，大俊已经说得非常直白了。

$亚盛医药-B(06855)$
GLORA4的临床试验虽然还在入组，而实际上的试验结果，公司都已经看到了。
1.取得CR的患者，无论是持续用药，还是去接受骨髓移植，生存期都非常显著比没有取得CR的患者更长。
2.只要治疗组CR率显著高于对照组，OS做出来也是顺理成章。
3.VERONA不仅仅是OS未取..."
376182647,2026-02-13 16:59,83,39,0,2/35,https://xueqiu.com/1393486978/376182647,$再鼎医药(09688)$ 没什么好评论的。 今年大的里程碑只有一个: 能不能开出一线SCLC的全球...,"$再鼎医药(09688)$
没什么好评论的。
今年大的里程碑只有一个:
能不能开出一线SCLC的全球三期，从而领跑全球TOPi ADC在SCLC适应症上的开发。
今年大的悬念只有一个:
三联还是两联。
$再鼎医药(09688)$
没什么好评论的。
今年大的里程碑只有一个:
能不能开出一线SCLC的全球三期，从而领跑全球TOPi ADC在SCLC适应症上的开发。
今年大的悬念只有一个:
三联还是两联。"
375969433,2026-02-12 12:31,54,76,0,2/35,https://xueqiu.com/1393486978/375969433,$亚盛医药-B(06855)$ 一直没搞懂，为什么投资创新药就是风险大，投别的板块风险似乎就不大？...,$亚盛医药-B(06855)$ 一直没搞懂，为什么投资创新药就是风险大，投别的板块风险似乎就不大？
